season,episode,code,title,violence,sex,language,overall,verdict,example_1
4,11,0411,11. Little Minnesota,1,4,3,4,Strong — skip for little kids,Sex & hookups — See? She didn't get the briefcase! That's responsible! And there's almost no way she had sex with anyone in…
4,12,0412,12. Benefits,2,5,2,5,Heavy — not kid-friendly,Sex & hookups — The woman in this scenario is a prostitute.
4,13,0413,13. Three Days of Snow,2,4,3,4,Strong — skip for little kids,"Sex & hookups — Yeah, but don't those girls get to have sex with Van Halen after the show? If you want to have sex with Van…"
4,14,0414,14. The Possimpible,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Wear a condom? I'm not gonna be the new Channel Ten anchor, am I? This just in."
4,15,0415,15. The Stinsons,2,1,4,4,Strong — skip for little kids,"Swearing — Get your head out of your ass, Lily."
4,16,0416,"16. Sorry, Bro",3,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — I used deceitful means to hook up with a less-than-intelligent girl.
4,17,0417,17. The Front Porch,1,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Have you been sleeping with Robin? What? No,of course not! It,it probably got mixed in with the laundry or…"
4,18,0418,18. Old King Clancy,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — You know, I don't know, celebrities, they're into some really weird sex stuff."
4,19,0419,19. Murtaugh,3,2,4,4,Strong — skip for little kids,"Sex & hookups — Remove ""colonoscopy"" and ""Have sex with an old lady,"" and this is a cakewalk."
4,20,0420,20. Mosbius Designs,2,4,3,4,Strong — skip for little kids,"Sex & hookups — Robin, you cannot sleep with my assistant."
4,21,0421,21. The Three Days Rule,2,4,3,4,Strong — skip for little kids,Sex & hookups — Now he's only wearing the cowboy boots! - It is on! - It is so on! Tell him that we're we're slowing slippi…
4,22,0422,"22. Right Place, Right Time",1,4,2,4,Strong — skip for little kids,Sex & hookups — What are you gonna do? It's not like you're gonna find someone new to have sex with in the next two hours.
4,23,0423,23. As Fast as She Can,3,4,2,4,Strong — skip for little kids,"Sex & hookups — A check so big, if you had sex with it, you wouldn't tell your buddies."
4,24,0424,24. The Leap,3,1,3,3,Moderate — better for older kids / preteens,Swearing — Why screw up a good thing? Friends? Friends.
5,1,0501,1. Definitions,3,4,2,4,Strong — skip for little kids,"Sex & hookups — I hooked up with this Chinese girl last night, and I don't know, it's weird."
5,2,0502,2. Double Date,3,5,2,5,Heavy — not kid-friendly,"Sex & hookups — Well, it is a lot cheaper than buying a condom."
5,3,0503,3. Robin 101,2,2,4,4,Strong — skip for little kids,"Sex & hookups — And then, once you're off the phone with Lily, I'll be down in the bar ready to have sex."
5,4,0504,4. The Sexless Innkeeper,1,2,2,2,Mild — okay for many kids with a parent,"Sex & hookups — Ted, that girl had no intention of ever hooking up with you."
5,5,0505,5. Duel Citizenship,1,1,3,3,Moderate — better for older kids / preteens,Nudity & bodies — You didn't even let me put on underwear! We never used to put on underwear! That was the fun of a bros' tri…
5,6,0506,6. Bagpipes,3,4,3,4,Strong — skip for little kids,Sex & hookups — Then I don't care if you have an orgasm.
5,7,0507,7. The Rough Patch,3,5,2,5,Heavy — not kid-friendly,"Sex & hookups — I wanna dance, I wanna have sex with a girl and I wanna go fishing."
5,8,0508,8. The Playbook,2,4,4,4,Strong — skip for little kids,"Sex & hookups — ""Mothers I'd Like to Sleep With and Never Call Again."
5,9,0509,9. Slapsgiving 2: Revenge of the Slap,2,1,3,3,Moderate — better for older kids / preteens,Swearing — You son of a bitch.
5,10,0510,10. The Window,1,3,4,4,Strong — skip for little kids,"Sex & hookups — I, Barney Stinson, being of sound mind and amazing body, will wear these overalls until I have sex with a w…"
5,11,0511,11. Last Cigarette Ever,2,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — You can sleep with Marshall.
5,12,0512,12. Girls vs. Suits,1,1,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Who, the guy kissing a jar full of dead suit ashes? That guy? What if Cindy is the woman I'm supposed to ma…"
5,13,0513,13. Jenkins,2,4,3,4,Strong — skip for little kids,"Sex & hookups — You want to have sex with Jenkins? With Jenkins, on Jenkins, near Jenkins."
5,14,0514,14. Perfect Week,1,3,2,3,Moderate — better for older kids / preteens,"Sex & hookups — Boxing had Ali, basketball had Jordan, and the sport of sleeping with random hotties has my next guest, Mr."
5,15,0515,15. Rabbit or Duck,2,3,2,3,Moderate — better for older kids / preteens,"Sex & hookups — I've enlisted Ranjit's services as my personal driver because for the next week, I'll be sleeping with hund…"
5,16,0516,16. Hooked,1,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — (BARNEY LAUGHS) Ain't no party like a pharma girl party 'Cause a pharma girl party don't stop Dude, I've al…"
5,17,0517,17. Of Course,2,5,4,5,Heavy — not kid-friendly,"Sex & hookups — Robin Scherbatsky, you look like the classiest, most expensive prostitute ever."
5,18,0518,18. Say Cheese,2,3,4,4,Strong — skip for little kids,Sex & hookups — I'm so excited to have sex again.
5,19,0519,19. Zoo or False,3,3,2,3,Moderate — better for older kids / preteens,Sex & hookups — I'm gonna pretend this happened to me later to try and get some sympathy sex.
5,20,0520,20. Home Wreckers,1,4,3,4,Strong — skip for little kids,"Nudity & bodies — (SIGHING) I made a mistake letting you go, didn't I? Your penis is enormous."
5,21,0521,21. Twin Beds,1,4,3,4,Strong — skip for little kids,"Sex & hookups — See, I wanna have sex with her at least one more time! She is mine! She's not yours! And she's not mine, ei…"
5,22,0522,22. Robots vs. Wrestlers,2,4,3,4,Strong — skip for little kids,"Nudity & bodies — Four, no breast-feeding in front of me."
5,23,0523,23. The Wedding Bride,2,5,2,5,Heavy — not kid-friendly,"Sex & hookups — ALL: Kiss him, kiss him, kiss him - Kiss him, kiss him, kiss him Stella, if you still truly love me, can yo…"
5,24,0524,24. Doppelgangers,2,4,2,4,Strong — skip for little kids,Sex & hookups — You know how it's my dream to have sex with at least one woman - from every country on the planet? - Sure.
6,1,0601,1. Big Days,1,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — And, um, some time over the next few months, I'm going to want to sleep with you."
6,2,0602,2. Cleaning House,1,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — The comfort of home is a little ruined when someone turns your old room into what I'm pretty sure is a Tant…
6,3,0603,3. Unfinished,3,2,4,4,Strong — skip for little kids,"Sex & hookups — Call me old-fashioned, but I need to have sex with a girl at least three times before I'll even consider ha…"
6,4,0604,4. Subway Wars,2,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Anyone have a condom? Oh! Oh, God! No, no, no! That's it! You know what? Five-minute time-out! Corner booth…"
6,5,0605,5. Architect of Destruction,1,5,4,5,Heavy — not kid-friendly,Sex & hookups — I guess she and Max hooked up last night.
6,6,0606,6. Baby Talk,2,4,3,4,Strong — skip for little kids,"Sex & hookups — Who's your daddy? You are, 'cause of all the sex we have."
6,7,0607,7. Canning Randy,2,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — Please tell me you're not hooking up with one of your co-anchors again.
6,8,0608,8. Natural History,1,1,3,3,Moderate — better for older kids / preteens,Sex & hookups — I can kiss better than that old man.
6,9,0609,9. Glitter,2,5,2,5,Heavy — not kid-friendly,"Sex & hookups — Did you guys have sleepovers? Get mad at each other and wrestle, but then end up kissing in a tender embrac…"
6,10,0610,10. Blitzgiving,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — (all agreeing, whooping) ALL (chanting): Make out with Zoey! Make out with Zoey! Make out Did they tell you…"
6,11,0611,11. The Mermaid Theory,3,3,2,3,Moderate — better for older kids / preteens,"Sex & hookups — Once you're married, it's very hard to be friends with a single person of the opposite sex."
6,12,0612,12. False Positive,1,5,3,5,Heavy — not kid-friendly,"Sex & hookups — I frequently sleep with sixes, chubsters, over-thirties I am the bill and Melinda gates of the sympathy ban…"
6,13,0613,13. Bad News,3,5,3,5,Heavy — not kid-friendly,"Sex & hookups — Barney, I've already told - ""Oh, and my sperm don't work."
6,14,0614,14. Last Words,1,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — I hooked up with a younger woman the other week Donna Bromstead.
6,15,0615,15. Oh Honey,1,1,3,3,Moderate — better for older kids / preteens,Sex & hookups — They're kissing.
6,16,0616,16. Desperation Day,2,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — We said you were going to have sex.
6,17,0617,17. Garbage Island,1,4,4,4,Strong — skip for little kids,Sex & hookups — And now you're trying to hook up with your ex-girlfriend to prove to yourself that you don't care.
6,18,0618,18. A Change of Heart,2,4,2,4,Strong — skip for little kids,"Sex & hookups — I drink every day, I sleep three hours every night, and I have multiple sex partners."
6,19,0619,19. Legendaddy,2,4,3,4,Strong — skip for little kids,"Sex & hookups — Sex swing there, vibrating Jell-O pit right there, rotating Vietnamese Shame Wheel right here."
6,20,0620,20. The Exploding Meatball Sub,3,3,2,3,Moderate — better for older kids / preteens,Sex & hookups — She's obviously a prostitute.
6,21,0621,21. Hopeless,3,4,2,4,Strong — skip for little kids,"Sex & hookups — If I can score five numbers before you can, then we have sex in the bathroom."
6,22,0622,22. The Perfect Cocktail,2,3,5,5,Heavy — not kid-friendly,Sex & hookups — Can you get STDs from the ghost of a prostitute? (woman in bathroom screams) (screams) What are What are yo…
6,23,0623,23. Landmarks,1,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — And I mistook you for a prostitute right here.
6,24,0624,24. Challenge Accepted,2,1,3,3,Moderate — better for older kids / preteens,"Nudity & bodies — What about me? I got so fat, at the end of a date, you'd unhook my bra."
7,1,0701,1. The Best Man,1,3,4,4,Strong — skip for little kids,Sex & hookups — Are escaped manslaughterers sexy? Not even remotely.
7,2,0702,2. The Naked Truth,1,4,2,4,Strong — skip for little kids,Sex & hookups — What were the lies? You want me to tell you every lie I've ever told a woman to get her into bed? A bed or…
7,3,0703,3. Ducky Tie,1,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — Remember the night we met? I remember you not letting me kiss you.
7,4,0704,4. The Stinson Missile Crisis,1,4,4,4,Strong — skip for little kids,Sex & hookups — I want to have sex with her.
7,5,0705,5. Field Trip,2,2,2,2,Mild — okay for many kids with a parent,Sex & hookups — Would you rather have sex with a dead human being or a live an? Dude.
7,6,0706,6. Mystery vs. History,2,4,3,4,Strong — skip for little kids,Sex & hookups — What's going on? I'm a prostitute.
7,7,0707,7. Noretta,2,3,2,3,Moderate — better for older kids / preteens,"Sex & hookups — You're finally going to Bootytown? Look, we just don't want to rush anything, okay? So we decided to wait u…"
7,8,0708,8. The Slutty Pumpkin Returns,1,3,1,3,Moderate — better for older kids / preteens,"Sex & hookups — I have to break up with her, don't I? All: Yes! After you sleep with her, yes! Marshall, I've been thinking…"
7,9,0709,9. Disaster Averted,2,1,1,2,Mild — okay for many kids with a parent,Sex & hookups — Prepared to spend lunch in his locker? Prepared to die a virgin? Prepared to paint his sister's nails? Prep…
7,10,0710,10. Tick Tick Tick...,2,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Excuse me, I should really try to have sex with that new intern."
7,11,0711,11. The Rebound Girl,2,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — I've moved on to weird pregnancy sex dreams.
7,12,0712,12. Symphony of Illumination,2,3,4,4,Strong — skip for little kids,Sex & hookups — Kevin and I haven't had sex yet.
7,13,0713,13. Tailgate,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — You know, since we'll here, and we're all horny I don't know what went wrong."
7,14,0714,14. 46 Minutes,2,5,2,5,Heavy — not kid-friendly,"Sex & hookups — Mickey, since you got here, you've been nothing but judgmental and pushy and strangely obsessed with your a…"
7,15,0715,15. The Burning Beekeeper,2,5,3,5,Heavy — not kid-friendly,Sex & hookups — I think we need to have sex right now.
7,16,0716,16. The Drunk Train,1,4,3,4,Strong — skip for little kids,"Sex & hookups — LILY: Just a bunch of drunk, sloppy idiots, fresh off a night of partying in the city, just desperate to ho…"
7,17,0717,17. No Pressure,1,4,3,4,Strong — skip for little kids,Sex & hookups — How he and Robin hooked up.
7,18,0718,18. Karma,2,4,2,4,Strong — skip for little kids,"Sex & hookups — You don't hear me prattling on about how beautiful her smile is, how her hair is like a waterfall of honey-…"
7,19,0719,19. The Broath,1,5,4,5,Heavy — not kid-friendly,"Sex & hookups — "" And now, to seal this sacred vow, the two ladies will kiss."
7,20,0720,20. Trilogy Time,1,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Oh, baby, how do you feel after spending all day working on your art, since I make enough to support us bot…"
7,21,0721,21. Now We're Even,1,5,3,5,Heavy — not kid-friendly,"Sex & hookups — Man, this kid better be real freakin' cute! What was that all about? Lily had a sex dream last night."
7,22,0722,22. Good Crazy,1,5,3,5,Heavy — not kid-friendly,"Sex & hookups — And maybe society considers what she does to be ""disgusting,"" or ""slutty,"" or verging on ""prostitution,"" or…"
7,23,0723,23. The Magician's Code (1),2,2,2,2,Mild — okay for many kids with a parent,Sex & hookups — You can't have sex with Lily.
7,24,0724,24. The Magician's Code (2),3,4,3,4,Strong — skip for little kids,"Sex & hookups — When I was 13, my father caught me kissing a boy, so he sent me to our family's ranch for foaling season."
8,1,0801,1. Farhampton,1,4,2,4,Strong — skip for little kids,"Sex & hookups — We're totally not gonna go have sex in the kitchen, if that's what you're thinking."
8,2,0802,2. The Pre-Nup,1,4,3,4,Strong — skip for little kids,Sex & hookups — That's how they kiss.
8,3,0803,3. Nannies,2,1,3,3,Moderate — better for older kids / preteens,"Nudity & bodies — I had no idea ""naked man runs back into inferno to rescue potato salad"" was Mickey."
8,4,0804,4. Who Wants to Be a Godparent?,2,4,2,4,Strong — skip for little kids,"Sex & hookups — (high-pitched rapping): When two adults wish to procreate They lay together and copulate Male gametes, sper…"
8,5,0805,5. The Autumn of Break-Ups,1,2,2,2,Mild — okay for many kids with a parent,Sex & hookups — He just wants to have sex.
8,6,0806,6. Splitsville,1,4,3,4,Strong — skip for little kids,Sex & hookups — Why? Who can say? Nick and I haven't had sex in three days.
8,7,0807,7. The Stamp Tramp,1,4,3,4,Strong — skip for little kids,Nudity & bodies — But Barney Stinson has to do what's right for Barney Stinson's penis.
8,8,0808,8. Twelve Horny Women,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — I mean, I've heard of Twelve Angry Men, but this was more like Twelve Horny Women."
8,9,0809,9. Lobster Crawl,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Just remember, you can never hook up with Barney again."
8,10,0810,10. The Over-Correction,1,4,3,4,Strong — skip for little kids,"Sex & hookups — Um, Robin, after you rejected Barney, didn't he reject you? And didn't you go over to his place and try to…"
8,11,0811,11. The Final Page (1),3,4,4,4,Strong — skip for little kids,Sex & hookups — It just means that you're horny and you're easy.
8,12,0812,12. The Final Page (2),3,4,4,4,Strong — skip for little kids,Sex & hookups — It just means that you're horny and you're easy.
8,13,0813,13. Band or DJ?,2,1,3,3,Moderate — better for older kids / preteens,"Swearing — I will cut you, bitch."
8,14,0814,14. Ring Up!,1,4,3,4,Strong — skip for little kids,Sex & hookups — For me! Why do you want me to hook up with this 20-year-old? I thought I disgusted you.
8,15,0815,15. P.S. I Love You,2,1,3,3,Moderate — better for older kids / preteens,Swearing — Then what we're saying is she's a crazy stalker bitch who pulled that fire alarm and you should run screami…
8,16,0816,16. Bad Crazy,3,4,3,4,Strong — skip for little kids,"Sex & hookups — That's it, isn't it? What? No, I Like I should be surprised with her fancy medical degree and her sexy Sout…"
8,17,0817,17. The Ashtray,3,2,2,3,Moderate — better for older kids / preteens,"Sex & hookups — Should I give it to him? Is he trying to hook up with my fiancÃ©e? No, uh-uh."
8,18,0818,18. Weekend at Barney's,2,5,3,5,Heavy — not kid-friendly,"Sex & hookups — And based on that, girls want to sleep with you."
8,19,0819,19. The Fortress,1,1,3,3,Moderate — better for older kids / preteens,"Nudity & bodies — The point is, I need to buy all new underwear, and you agreed that we would find a new place together."
8,20,0820,20. The Time Travelers,2,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Wait, I kiss a female robot? Oh, you do a lot more than that."
8,21,0821,21. Romeward Bound,1,1,3,3,Moderate — better for older kids / preteens,Nudity & bodies — Weapons of bra destruction.
8,22,0822,22. The Bro Mitzvah,3,4,3,4,Strong — skip for little kids,Sex & hookups — Did you tell your mother I'm a virgin? What? Why would you think that? Save yourself room for dessert.
8,23,0823,23. Something Old,3,1,3,3,Moderate — better for older kids / preteens,"Swearing — Come on! We sang in the New Year in '02 on this thing, remember? We were Destiny's Child! And since I was B…"
8,24,0824,24. Something New,2,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Now that we've broken up a seven-year relationship just 'cause they stole our table, I feel kind of Awesome…"
9,1,0901,1. The Locket,3,4,4,4,Strong — skip for little kids,"Sex & hookups — The day they got married, they lifted the curse forever, freeing me from the shackles of having sex with lo…"
